SHOP_NAME,LAT,LON
Customer1,22.310425,73.16962076
Customer2,22.92164302,74.18027684
Customer3,23.05751,72.48768671
Customer4,23.07054493,72.6374436
Customer5,22.98955,71.46662
Customer6,21.75407375,72.00261149
Customer7,22.310425,73.16962076
Customer8,22.84859376,72.550225
Customer9,22.9065,72.23310076
Customer10,22.97391307,72.64024695
Customer11,23.024165,72.46689135
Customer12,23.03495,72.55426781
Customer13,23.00164541,72.65868752
Customer14,22.96247452,72.5823824
Customer15,22.98187645,72.597975
Customer16,21.11537,72.71465
Customer17,23.061435,72.56146305
Customer18,23.02081,72.58942143
Customer19,21.11966,72.76238582
Customer20,23.01944564,72.55023966
Customer21,23.02601,72.66304416
Customer22,23.45128,73.33653546
Customer23,23.07424653,72.64820317
Customer24,22.30556,70.76942187
Customer25,23.07849929,72.65297431
Customer26,22.56712052,70.41776863
Customer27,23.596426,72.37740385
Customer28,22.28664037,70.78943398
Customer29,23.25805012,72.63492042
Customer30,21.20234037,72.7857213
Customer31,22.45249107,70.02030164
Customer32,23.219145,72.65202583
Customer33,21.274575,72.67398209
Customer34,23.083995,72.7343972
Customer35,23.225335,72.62822221
Customer36,23.03753,72.56152
Customer37,20.36462,72.92008
Customer38,22.805595,73.65068532
Customer39,23.05491,72.63833329
Customer40,21.23734999,72.87746555
Customer41,22.999655,72.66437641
Customer42,22.69656704,72.876425
Customer43,23.05254537,72.61012114
Customer44,22.98187645,72.597975
Customer45,22.35445517,70.76167393
Customer46,22.99914337,72.629515
Customer47,21.23275,72.90516
Customer48,23.03839093,72.64326898
Customer49,20.59666013,72.90389969
Customer50,23.02765,72.58756
Customer51,22.44313,69.96956472
Customer52,23.0744461,72.65662051
Customer53,23.05813822,72.54817091
Customer54,22.24654379,73.1146857
Customer55,23.00253566,72.65092447
Customer56,22.97112001,72.61636997
Customer57,21.274575,72.67398209
Customer58,23.19189051,72.60857368
Customer59,23.377615,69.77227186
Customer60,22.254565,73.18609287
Customer61,20.90985104,70.36792748
Customer62,20.622325,72.92048
Customer63,23.18327365,72.67708979
Customer64,20.1805507,72.75794394
Customer65,22.73675979,71.63184843
Customer66,23.02601,72.66304416
Customer67,22.32043001,73.16423002
Customer68,22.28476783,73.16476745
Customer69,23.02098118,72.66877166
Customer70,23.80375,72.40178
Customer71,23.067595,72.57648997
Customer72,23.14321506,72.77095792
Customer73,23.09651555,72.58588344
Customer74,20.35515371,72.93067
Customer75,21.21590186,72.83417556
Customer76,22.954905,72.5558565
Customer77,23.22708206,72.63135103
Customer78,22.310425,73.16962076
Customer79,21.20395904,72.84764754
Customer80,23.03670281,72.63103407
Customer81,21.11805205,72.83344403
Customer82,21.197495,72.87094145
Customer83,22.254565,73.18609287
Customer84,22.723235,71.58313512
Customer85,23.58114117,72.82506375
Customer7255,22.31907,73.23851
Customer7256,21.13827072,72.77378958
Customer7257,22.97504013,72.62095
Customer7258,22.56968934,72.89985434
Customer7259,23.00939,72.62342
Customer7260,23.09258403,72.546535
Customer7261,22.98016748,72.701425
Customer7262,21.22795,72.81092
Customer7263,23.05331,72.56947
Customer7264,21.23014686,72.926395
Customer7265,21.23014686,72.926395
Customer7266,21.23014686,72.926395
Customer7267,23.083995,72.7343972
Customer7268,22.703,73.10847
Customer7269,21.078825,72.86642289
Customer7270,23.08767,72.55567
Customer7271,23.219145,72.65202583
Customer7272,23.0744461,72.65662051
Customer7273,23.04483649,72.665105
Customer7274,23.51490661,72.656655
Customer7275,21.576085,73.39298329
Customer7276,20.362665,73.00192374
Customer7277,22.335005,73.15063967
Customer7278,21.23356521,72.87087522
Customer7279,21.22518918,72.77824627
Customer7280,23.23671,72.63288
Customer7281,22.31488595,73.14064756
Customer7282,22.34332,73.17672
Customer7283,22.99836,72.59735
Customer7284,23.69142,72.54939
Customer7285,21.71125,72.97892303
Customer7286,22.29041,73.24233
Customer7287,21.17068,72.83706
Customer7288,23.70114034,72.54863711
Customer7289,21.74109695,72.06203724
Customer7290,23.02601,72.66304416
Customer7291,23.16752356,72.58518428
Customer7292,23.14321506,72.77095792
Customer7293,23.00635689,72.62256767
Customer7294,23.16752356,72.58518428
Customer7295,22.99914337,72.629515
Customer7296,22.265145,73.26598712
Customer7297,23.05060133,72.64874952
Customer7298,22.48016758,72.80025456
Customer7299,23.07055,72.54292955
Customer7300,22.99825001,72.60191999
Customer7301,21.71125,72.97892303
Customer7302,23.225335,72.62822221
Customer7303,23.05350709,72.5335658
Customer7304,21.0460134,71.44425
Customer7305,21.62104,69.64391
Customer7306,23.02081,72.58942143
Customer7307,22.996025,72.60980038
Customer7308,23.05141,72.61081474
Customer7309,23.219145,72.65202583
Customer7310,21.60921,73.0177
Customer7311,21.239665,72.87918497
Customer7312,20.3685865,72.91456599
Customer7313,23.02728,73.0794
Customer7314,20.33085,72.93728
Customer7315,23.219145,72.65202583
Customer7316,20.765895,72.97082039
Customer7317,23.061435,72.56146305
Customer7318,23.05477002,72.64754998
Customer7319,22.98879,72.58352125
Customer7320,21.197875,72.82969921
Customer7321,21.25592627,72.95606333
Customer7322,23.1026575,72.60496842
Customer7323,22.29447784,70.75867179
Customer7324,23.19902206,72.726395
Customer7325,22.80791041,70.902115
Customer7326,22.70832228,73.210935
Customer7327,22.30978405,73.29334
Customer7328,21.979095,71.49318726
Customer7329,23.219145,72.65202583
Customer7330,22.410115,74.12114876
Customer7331,20.33085,72.93728
Customer7332,23.07683833,72.572
Customer7333,23.17481032,72.64518696
Customer7334,23.083995,72.7343972
Customer7335,22.98016748,72.701425
Customer7336,20.765895,72.97082039
Customer7337,21.197495,72.87094145
Customer7338,22.30868,73.17512
Customer7339,21.14153,72.87021382
Customer7340,23.098255,69.97608353
Customer7341,23.19902206,72.726395
Customer7342,23.00782246,72.56455739
Customer7343,22.55852247,71.20848235
Customer7344,23.05422104,72.64646891
Customer7345,23.219145,72.65202583
Customer7346,23.70114034,72.54863711
Customer7347,23.15698746,72.82119
Customer7348,21.18511,72.81187
Customer7349,22.27471,73.15161414
Customer7350,21.23421,72.82115
Customer7351,20.94919001,72.91470001
Customer7352,23.02236883,72.57495397
Customer7353,23.07783,72.65847001
Customer7354,23.02485,72.52212125
Customer7355,23.16752356,72.58518428
Customer7356,20.35515371,72.93067
Customer7357,23.046045,73.14938471
Customer7358,22.3276285,72.62551668
Customer7359,23.04361,72.6658
Customer7360,22.27888,70.77674
Customer7361,22.69656704,72.876425
Customer7362,22.90711,72.76885
Customer7363,23.14321506,72.77095792
Customer7364,23.02019687,72.65955095
Customer7365,23.05491,72.63833329
Customer7366,23.58335,72.97640166
Customer7367,23.07424,72.64809
Customer7368,23.05491,72.63833329
Customer7369,23.05912015,70.1299
Customer7370,22.99088,72.60385
Customer7371,21.19893,72.78336194
Customer7372,23.28644,72.65042337
Customer7373,22.998145,72.50214921
Customer7374,20.63034235,72.92083996
Customer7375,22.19425854,73.26445672
Customer7376,22.48912,70.06005
Customer7377,21.27751247,72.78508
Customer7378,23.01219112,72.66785498
Customer7379,22.26982669,73.18750571
Customer7380,21.92109927,73.07917526
Customer7381,20.3685865,72.91456599
Customer7382,22.89996484,72.483105
Customer7383,22.83431,69.34238
Customer7384,23.05422,72.67081
Customer7385,21.13827072,72.77378958
Customer7386,23.05422104,72.64646891
Customer7387,23.03798033,72.46973837
Customer7388,21.69399,72.9698
Customer7389,21.74089018,73.0577
Customer7390,21.24802458,72.84902131
Customer7391,24.33891,71.93347478
Customer7392,23.04483649,72.665105
Customer7393,22.99525,72.61388
Customer7394,23.26418,72.66707
Customer7395,23.083995,72.7343972
Customer7396,21.23014686,72.926395
Customer7397,22.24654379,73.1146857
Customer7398,21.22476,72.83315
Customer7399,23.8338,72.76116431
Customer7400,23.06753,72.65437
Customer7401,21.197875,72.82969921
Customer7402,23.098255,69.97608353
Customer7403,23.14321506,72.77095792
Customer7404,23.00782246,72.56455739
Customer7405,22.98187645,72.597975
Customer7406,23.04588564,72.66719403
Customer7407,20.18471073,72.761325
Customer7408,21.21987091,72.84921
Customer7409,23.219145,72.65202583
Customer7410,21.71125,72.97892303
Customer7411,23.47826,72.98318645
Customer7412,22.84015,69.72753
Customer7413,21.71125,72.97892303
Customer7414,22.61092394,73.46904244
Customer7415,23.06613,72.67182
Customer7416,23.10547843,72.66449653
Customer7417,23.05234691,72.61098633
Customer7418,23.03485998,72.66866942
Customer7419,22.27685725,73.12719592
Customer7420,24.042495,73.35460563
Customer7421,22.4928032,70.07164548
Customer7422,22.98846895,70.050205
Customer7423,23.04483649,72.665105
Customer7424,22.999655,72.66437641
Customer7425,23.09430333,72.56319
Customer7426,21.770545,72.14123503
Customer7427,22.999655,72.66437641
Customer7428,21.11966,72.76238582
Customer7429,21.16274867,72.81114623
Customer7430,24.24838775,72.19981541
Customer7431,23.09430333,72.56319
Customer7432,22.99325248,72.5192592
Customer7433,20.35515371,72.93067
Customer7434,22.66745198,72.69397
Customer7435,23.09258403,72.546535
Customer7436,23.23906781,72.67378005
Customer7437,21.77690894,72.16847169
Customer7438,21.22385,72.83632
Customer7439,23.16752356,72.58518428
Customer7440,23.16752356,72.58518428
Customer7441,23.16752356,72.58518428
